objects_moved,hiders_movement,seekers_movement,hiders_reward,seekers_reward
77,11.223342757856038,12.818133875488762,-18.0,18.0
0,6.555790673298513,18.86202473321894,-8.0,8.0
24,13.15160335355802,12.21935057978059,-30.0,30.0
53,32.77046810042929,12.930455347227758,-46.0,46.0
59,22.408065710293307,5.461558536452046,-48.0,48.0
31,17.777464489873488,12.993795382283974,-22.0,22.0
35,11.736805748103153,15.280704924406068,-32.0,32.0
0,12.009502764817604,17.452723899723065,-12.0,12.0
15,7.834827022391463,15.983422027124238,-10.0,10.0
0,10.209239942394094,17.13977876383251,-12.0,12.0
0,11.197638023867343,10.777061179858567,-48.0,48.0
0,21.85915997339262,10.762118400520437,-48.0,48.0
58,26.44036639287212,14.235273373459037,-28.0,28.0
23,7.236424375935183,16.316278847298115,-10.0,10.0
18,24.397292603010744,14.778934405158603,-14.0,14.0
60,21.259479740586706,13.464900852086112,-48.0,48.0
7,32.08645511544766,7.5969213043216754,-48.0,48.0
63,36.31994713655471,15.74771082263534,-18.0,18.0
0,8.599090527840787,17.380031020919898,-26.0,26.0
55,17.45295933482428,6.562468638935413,-48.0,48.0
29,19.812960919525125,13.663806058855506,-38.0,38.0
0,31.449424584001523,9.911631739804083,-32.0,32.0
60,29.08678397071204,9.122619932519854,-36.0,36.0
27,11.624909038154197,7.10639542256577,-48.0,48.0
27,29.779362075390978,18.098713655905627,48.0,-48.0
0,22.269306051953425,11.756949834416218,-46.0,46.0
16,8.728291096671363,13.554650023102377,-30.0,30.0
0,11.60083015045665,10.740001736684084,-38.0,38.0
0,20.3816500812955,13.176446428629252,-38.0,38.0
61,32.7306569517271,12.407686684696971,-26.0,26.0
0,21.655419659903604,8.704005048310496,-44.0,44.0
58,25.41474774938946,11.416266402904778,-46.0,46.0
0,12.50899609162745,11.07606913349587,-48.0,48.0
38,29.34976648085706,10.721655799165925,-30.0,30.0
0,11.253376022726519,16.65505708461508,-18.0,18.0
0,15.65747546481242,12.687657456591442,-40.0,40.0
70,20.304979624861932,20.09971712908333,-10.0,10.0
0,13.04274526352578,7.303304448464878,-48.0,48.0
102,30.82536479766078,15.277421252294781,-42.0,42.0
0,22.55154835242621,14.595393032266626,-38.0,38.0
0,10.941642254677419,7.687940210413035,-46.0,46.0
4,16.807968832330793,11.469878265836925,-46.0,46.0
58,11.796243773617805,18.463641229579512,-34.0,34.0
60,33.10946165799531,20.52401754112633,48.0,-48.0
30,19.745384677000146,17.712716122487723,-44.0,44.0
59,27.294701760353412,13.099296764158726,-42.0,42.0
5,14.54782885477538,15.631912186652503,-14.0,14.0
110,25.63509370619909,15.016514756352198,-14.0,14.0
0,21.28657675813203,15.215280507559386,-18.0,18.0
17,24.684409146256307,9.47349435752078,-48.0,48.0
39,22.1387479718583,13.43957644624505,-14.0,14.0
42,14.000315823539255,7.530710872839936,-48.0,48.0
12,4.612519241767411,17.87361075215728,-22.0,22.0
64,18.916579148992135,17.124996289909596,-16.0,16.0
5,30.00000107749144,8.81535454730733,-42.0,42.0
18,10.113203686619535,18.286686331961192,-28.0,28.0
0,13.238720441248901,6.9178841078244595,-48.0,48.0
0,15.375048922971539,8.126221522961567,-42.0,42.0
23,14.163212917213905,16.536262376379625,-40.0,40.0
63,21.720654206867344,13.630156439673346,-48.0,48.0
0,9.906798300069184,10.781152060676185,-32.0,32.0
37,9.010141380295737,11.750008867181451,-40.0,40.0
65,20.808616378675694,19.469097683656376,48.0,-48.0
31,24.840378009728102,15.446157111364744,-28.0,28.0
39,33.54109586710713,21.196794299417796,38.0,-38.0
29,18.763183561386935,22.165904433647665,-4.0,4.0
18,10.56872740131496,16.286320035127744,-26.0,26.0
5,26.938107176946918,21.26484919408932,14.0,-14.0
0,18.755296855719603,20.120189325878933,24.0,-24.0
0,23.388636106124167,11.540182327510687,-42.0,42.0
0,20.727662833517325,11.758091867340125,-40.0,40.0
0,8.13058168663027,16.241632908837488,-36.0,36.0
81,23.823203605588386,16.17924408762565,-44.0,44.0
0,17.404802275843693,11.657327599539958,-42.0,42.0
0,8.38535425159692,14.309960200069385,-20.0,20.0
0,7.106590031516061,14.959213052968261,-46.0,46.0
54,22.95657794608114,10.184220067596149,-34.0,34.0
16,31.166827593302198,13.69728298916597,-46.0,46.0
47,7.727591850357059,17.7115199408821,-20.0,20.0
0,5.134783978200537,4.583597229015001,-46.0,46.0
17,19.749145168887594,18.28097563718022,-46.0,46.0
9,19.192906299741953,16.367758282264788,-28.0,28.0
57,21.288713823337748,13.156741875305569,-44.0,44.0
0,18.70312313464375,12.081662976780828,-42.0,42.0
27,18.7119263075486,16.954964431912583,-24.0,24.0
59,21.834396516482958,10.880066967442415,-22.0,22.0
1,11.388229103186008,17.475065656876062,-8.0,8.0
39,12.247493055598177,12.27248454387749,-44.0,44.0
0,14.365034522479391,8.370983768602288,-46.0,46.0
0,7.978944176562368,8.865112560223894,-48.0,48.0
0,4.657133784459213,10.871513636341335,-2.0,2.0
91,26.72970211244601,17.751125665204967,-18.0,18.0
0,20.64245308885146,8.42705679568473,-42.0,42.0
61,11.065576301526825,16.200711565181805,-6.0,6.0
30,15.958215850898329,8.083652192244264,-44.0,44.0
22,11.219292956013051,17.930889475911854,-8.0,8.0
8,19.29638596269936,11.885768118220739,-42.0,42.0
19,20.594613063612258,11.275370790580636,-34.0,34.0
90,17.49825732819465,14.185993949723187,-48.0,48.0
5,17.563335196013192,9.139435769741588,-48.0,48.0
59,22.888425340641465,13.750673657405247,-14.0,14.0
0,3.4810795575527167,16.740589012280477,-34.0,34.0
78,28.027950560364804,5.838858957132523,-48.0,48.0
19,14.774830754621009,11.67620769066212,-46.0,46.0
46,18.07749884037179,11.203306938514183,-48.0,48.0
44,25.582283443901808,14.962126063127865,-6.0,6.0
49,21.143791821062774,20.176575535937932,12.0,-12.0
27,20.46040024637451,6.718303423983737,-48.0,48.0
36,17.964964942677856,10.230934551891705,-48.0,48.0
28,28.312060157304458,17.21183351080623,-14.0,14.0
34,22.40811308936199,18.37371316344093,-32.0,32.0
19,26.338948917475257,6.3813523319808585,-48.0,48.0
36,25.088955083814238,15.008470384643234,-36.0,36.0
75,19.026433205631022,7.1641611245814385,-48.0,48.0
0,14.470716966373027,12.068350505879318,-30.0,30.0
30,32.296458131222316,22.110506368839,48.0,-48.0
0,7.927384028093755,10.367877299985814,-32.0,32.0
0,20.463834841446044,10.47220594603524,-44.0,44.0
0,15.585655026640138,8.553240485130296,-48.0,48.0
43,32.48624499564286,18.078846575144627,48.0,-48.0
23,11.293670407593504,14.28826249137302,-34.0,34.0
0,11.430845542569946,5.760870735784996,-44.0,44.0
16,11.416519533581175,15.788407665725305,-48.0,48.0
108,22.45349281338791,13.155744812195579,-20.0,20.0
45,27.689191890364043,10.703958473934179,-46.0,46.0
40,18.503045367225784,10.906845035064524,-48.0,48.0
0,6.350966936556885,10.148714138014345,-44.0,44.0
0,20.048074065361245,9.58708526178229,-38.0,38.0
22,18.206839493310753,11.332704248541875,-48.0,48.0
0,6.003860172954289,6.679525829874631,-48.0,48.0
0,14.074088573928682,8.606329650074986,-48.0,48.0
0,21.304114119302007,9.924800830703312,-30.0,30.0
24,18.108750913872544,19.703169662131867,48.0,-48.0
20,8.13713684416616,17.773615691886448,-24.0,24.0
48,16.785420732964315,18.335685682585588,-12.0,12.0
0,10.258769020453975,2.876517296782168,-46.0,46.0
30,12.709298262610153,17.934178992838834,-10.0,10.0
